iter	RMSE
0	16837.85205
1	16360.11684
2	15967.30339
3	15547.13327
4	15152.3949
5	14871.48238
6	14537.5247
7	14238.51905
8	13951.70348
9	13678.30394
10	13448.22848
11	13209.14214
12	13015.00722
13	12899.171
14	12705.08084
15	12475.71697
16	12298.9013
17	12135.99421
18	11979.98869
19	11770.19571
20	11564.78349
21	11386.53454
22	11194.65802
23	11027.34677
24	10898.46963
25	10774.41177
26	10675.40772
27	10555.25794
28	10444.72451
29	10334.10021
30	10193.55841
31	10153.6109
32	10032.71976
33	9912.666834
34	9830.672119
35	9731.043959
36	9643.444304
37	9548.650039
38	9470.144726
39	9390.123544
40	9300.367345
41	9248.482257
42	9178.179514
43	9144.206538
44	9038.002737
45	8926.354795
46	8892.571266
47	8843.405622
48	8760.04735
49	8702.794682
50	8658.396586
51	8633.062758
52	8585.551126
53	8554.232436
54	8491.310723
55	8458.92668
56	8424.040845
57	8401.67341
58	8361.031429
59	8338.035133
60	8308.620042
61	8263.730508
62	8228.800833
63	8189.881951
64	8164.139213
65	8109.339811
66	8065.325945
67	8046.986061
68	8014.257397
69	7985.258853
70	7953.327357
71	7918.294683
72	7858.903931
73	7819.648524
74	7760.921382
75	7677.284302
76	7641.261568
77	7600.352044
78	7561.003381
79	7525.167882
80	7490.613596
81	7458.702331
82	7428.386993
83	7413.352347
84	7376.820012
85	7341.397983
86	7258.689986
87	7224.396774
88	7178.644298
89	7124.880318
90	7084.683811
91	7044.899697
92	7014.189397
93	6996.113348
94	6957.74497
95	6912.642495
96	6878.606218
97	6849.589963
98	6812.561737
99	6784.543369
100	6752.34791
101	6728.426876
102	6697.039736
103	6673.782211
104	6639.742212
105	6610.144571
106	6565.355112
107	6546.484333
108	6526.320155
109	6504.561893
110	6471.071579
111	6449.64049
112	6438.698359
113	6418.613347
114	6403.081433
115	6383.639863
116	6355.178765
117	6326.386323
118	6306.201968
119	6268.304251
120	6259.458855
121	6241.759282
122	6225.682977
123	6202.169447
124	6180.75538
125	6173.495008
126	6145.776488
127	6102.168002
128	6067.409003
129	6024.291622
130	6010.020433
131	5997.259945
132	5965.980548
133	5940.903902
134	5923.004861
135	5878.418937
136	5858.709798
137	5848.510686
138	5837.587457
139	5808.607287
140	5755.42988
141	5730.518748
142	5689.410907
143	5661.596126
144	5654.114799
145	5641.934703
146	5625.518082
147	5613.745756
148	5597.332728
149	5570.903911
150	5558.661419
151	5546.995182
152	5526.113158
153	5494.940895
154	5477.890396
155	5453.787549
156	5442.932707
157	5420.769896
158	5382.855889
159	5340.949871
160	5319.293128
161	5311.593651
162	5300.427366
163	5270.951177
164	5260.19439
165	5231.926829
166	5221.390034
167	5188.473264
168	5172.483689
169	5162.328764
170	5142.655094
171	5121.539677
172	5097.363644
173	5084.163025
174	5063.000424
175	5043.610073
176	5017.917014
177	4994.105682
178	4986.813444
179	4968.911702
180	4934.75135
181	4926.606935
182	4907.811028
183	4892.351097
184	4880.200742
185	4872.865111
186	4851.079871
187	4843.608127
188	4828.390992
189	4817.81842
190	4808.317818
191	4804.91712
192	4787.829798
193	4779.546044
194	4774.576676
195	4763.213063
196	4755.441834
197	4746.293868
198	4740.156442
199	4735.125807
200	4730.721335
201	4722.949566
202	4701.057891
203	4694.284763
204	4687.759925
205	4673.449742
206	4653.580556
207	4645.254374
208	4636.193252
209	4627.778628
210	4618.550845
211	4606.773367
212	4600.809675
213	4594.978094
214	4578.979926
215	4554.732554
216	4551.575069
217	4548.696199
218	4543.531474
219	4538.653644
220	4534.644958
221	4516.034122
222	4506.029922
223	4488.234774
224	4485.694754
225	4476.472958
226	4457.951585
227	4440.834605
228	4424.730771
229	4420.138315
230	4412.141708
231	4396.713834
232	4388.094389
233	4383.368723
234	4377.063665
235	4357.832328
236	4353.795562
237	4349.987526
238	4340.476005
239	4327.135945
240	4319.319523
241	4312.653402
242	4292.857493
243	4289.618152
244	4267.547631
245	4265.478618
246	4244.515577
247	4241.583817
248	4239.224954
249	4236.791096
250	4227.444109
251	4218.724822
252	4197.233131
253	4189.361631
254	4182.723597
255	4177.786316
256	4161.357265
257	4153.970877
258	4140.888472
259	4139.281076
260	4129.017056
261	4124.768435
262	4112.49235
263	4102.284533
264	4095.250082
265	4089.463304
266	4076.851845
267	4068.467579
268	4060.161642
269	4054.125788
270	4050.941267
271	4044.025715
272	4036.565924
273	4031.305754
274	4018.456807
275	4008.847717
276	3993.106746
277	3987.808455
278	3973.052411
279	3967.602258
280	3957.094349
281	3932.699006
282	3925.844827
283	3922.204529
284	3907.007827
285	3885.792342
286	3879.853845
287	3868.871081
288	3865.307887
289	3859.205467
290	3841.668846
291	3834.820668
292	3821.552379
293	3814.836596
294	3808.502362
295	3802.435312
296	3798.778447
297	3781.369234
298	3774.285332
299	3765.575399
300	3753.451527
301	3747.579824
302	3744.272554
303	3736.332684
304	3713.743345
305	3705.667663
306	3702.899363
307	3698.54599
308	3695.546251
309	3688.628791
310	3682.490219
311	3676.480172
312	3669.480029
313	3668.064343
314	3665.777907
315	3661.328212
316	3660.060066
317	3648.410739
318	3641.603233
319	3633.498042
320	3628.602613
321	3625.034913
322	3619.330665
323	3609.997297
324	3604.530612
325	3600.37671
326	3598.333096
327	3592.853384
328	3585.789834
329	3576.243997
330	3570.387269
331	3567.60128
332	3554.987363
333	3538.044982
334	3527.023191
335	3513.201
336	3502.559189
337	3498.952754
338	3489.914018
339	3481.77403
340	3477.350355
341	3475.453687
342	3467.343666
343	3461.401367
344	3455.145518
345	3450.437566
346	3439.073547
347	3434.580383
348	3425.152182
349	3420.137472
350	3411.284731
351	3409.626702
352	3405.63631
353	3403.279471
354	3401.498253
355	3396.112442
356	3392.311471
357	3380.079445
358	3367.007258
359	3363.225969
360	3359.156253
361	3352.360118
362	3351.464788
363	3348.625548
364	3340.372759
365	3332.401793
366	3324.381668
367	3318.253193
368	3316.215654
369	3305.13823
370	3298.948114
371	3297.197833
372	3290.985657
373	3288.325835
374	3281.830032
375	3268.464156
376	3266.149282
377	3263.795409
378	3258.83526
379	3254.179099
380	3251.551944
381	3249.932463
382	3246.094495
383	3237.47586
384	3226.661516
385	3223.091658
386	3213.842769
387	3207.483859
388	3206.011618
389	3202.89179
390	3198.968222
391	3193.653673
392	3181.509689
393	3177.667891
394	3169.351542
395	3167.14523
396	3158.420939
397	3151.536131
398	3147.886178
399	3139.016848
400	3131.271754
401	3129.821298
402	3127.274594
403	3120.143777
404	3118.605368
405	3111.6337
406	3107.162762
407	3099.972621
408	3094.501708
409	3080.931261
410	3078.628413
411	3075.70014
412	3071.60609
413	3070.280564
414	3068.212508
415	3066.855938
416	3062.0191
417	3058.709711
418	3055.00338
419	3051.872655
420	3046.891589
421	3044.699034
422	3036.763271
423	3033.516067
424	3028.281875
425	3025.82522
426	3023.963042
427	3022.735297
428	3015.57468
429	3011.262784
430	2997.54679
431	2996.244505
432	2991.034844
433	2985.570733
434	2984.894297
435	2980.704719
436	2977.0208
437	2971.960936
438	2969.82687
439	2957.178899
440	2956.226693
441	2952.957487
442	2934.377465
443	2932.433183
444	2929.861239
445	2926.132292
446	2924.161552
447	2919.917821
448	2914.328456
449	2906.458024
450	2903.644913
451	2901.467835
452	2891.54944
453	2884.473969
454	2883.210662
455	2878.297585
456	2871.079847
457	2868.07822
458	2863.187223
459	2856.447983
460	2849.17961
461	2847.142179
462	2844.428729
463	2842.282226
464	2833.98215
465	2830.286467
466	2825.77328
467	2823.302114
468	2820.600152
469	2811.797329
470	2799.237188
471	2790.115136
472	2789.07171
473	2781.300279
474	2778.860098
475	2776.60082
476	2775.594264
477	2772.919852
478	2766.97647
479	2755.551029
480	2751.883452
481	2746.090268
482	2745.660209
483	2739.245572
484	2736.958322
485	2730.221062
486	2728.793715
487	2727.885051
488	2716.87198
489	2715.915976
490	2709.67403
491	2707.728729
492	2704.045533
493	2702.95033
494	2701.796924
495	2695.95577
496	2693.170624
497	2689.039039
498	2685.344164
499	2684.106856
