iter	Passed	Remaining
0	171	85714
1	197	49130
2	228	37800
3	258	32080
4	297	29408
5	334	27542
6	370	26100
7	388	23887
8	426	23281
9	463	22703
10	474	21111
11	509	20732
12	547	20504
13	559	19422
14	595	19266
15	632	19138
16	651	18499
17	687	18399
18	723	18325
19	760	18256
20	799	18233
21	836	18175
22	879	18241
23	919	18239
24	938	17834
25	975	17785
26	1011	17726
27	1049	17692
28	1087	17654
29	1131	17728
30	1176	17806
31	1191	17422
32	1228	17379
33	1271	17425
34	1313	17449
35	1353	17450
36	1392	17424
37	1431	17404
38	1467	17349
39	1503	17289
40	1544	17288
41	1583	17262
42	1619	17212
43	1631	16911
44	1671	16905
45	1714	16920
46	1755	16919
47	1794	16898
48	1831	16860
49	1868	16819
50	1907	16790
51	1944	16752
52	1981	16712
53	2018	16669
54	2057	16648
55	2096	16622
56	2135	16596
57	2172	16552
58	2208	16504
59	2243	16452
60	2282	16426
61	2319	16387
62	2353	16323
63	2392	16295
64	2429	16260
65	2470	16244
66	2507	16206
67	2533	16095
68	2570	16055
69	2607	16017
70	2646	15988
71	2683	15949
72	2725	15939
73	2763	15911
74	2802	15880
75	2839	15839
76	2879	15819
77	2954	15985
78	3024	16115
79	3079	16165
80	3135	16217
81	3175	16188
82	3214	16148
83	3274	16214
84	3336	16287
85	3380	16272
86	3421	16244
87	3465	16223
88	3503	16178
89	3543	16142
90	3580	16092
91	3617	16041
92	3654	15994
93	3690	15937
94	3729	15899
95	3769	15862
96	3810	15830
97	3848	15786
98	3893	15772
99	3932	15730
100	3983	15736
101	4019	15685
102	4057	15637
103	4092	15583
104	4130	15539
105	4172	15508
106	4209	15460
107	4245	15408
108	4339	15564
109	4389	15563
110	4439	15558
111	4479	15519
112	4523	15492
113	4564	15455
114	4603	15410
115	4642	15367
116	4680	15322
117	4718	15275
118	4759	15237
119	4796	15189
120	4834	15141
121	4871	15093
122	4908	15043
123	4954	15024
124	4998	14995
125	5036	14948
126	5073	14902
127	5109	14850
128	5145	14798
129	5186	14762
130	5223	14714
131	5263	14673
132	5310	14654
133	5354	14625
134	5392	14580
135	5435	14548
136	5476	14510
137	5515	14467
138	5550	14415
139	5588	14370
140	5630	14335
141	5666	14286
142	5703	14238
143	5740	14190
144	5779	14150
145	5816	14103
146	5855	14061
147	5909	14055
148	5946	14007
149	5981	13957
150	6017	13907
151	6053	13860
152	6091	13815
153	6126	13764
154	6162	13716
155	6199	13670
156	6234	13621
157	6279	13592
158	6320	13555
159	6360	13516
160	6398	13473
161	6437	13431
162	6475	13387
163	6511	13341
164	6548	13295
165	6584	13248
166	6627	13216
167	6669	13179
168	6715	13153
169	6757	13117
170	6798	13079
171	6838	13040
172	6882	13010
173	6925	12976
174	6961	12927
175	7006	12899
176	7045	12857
177	7084	12815
178	7120	12769
179	7160	12730
180	7198	12686
181	7237	12645
182	7275	12602
183	7313	12559
184	7349	12514
185	7387	12471
186	7423	12425
187	7463	12387
188	7500	12341
189	7535	12295
190	7571	12248
191	7610	12208
192	7648	12166
193	7684	12121
194	7721	12077
195	7760	12036
196	7797	11992
197	7835	11951
198	7872	11908
199	7908	11862
200	7943	11815
201	7979	11772
202	8019	11732
203	8057	11690
204	8096	11651
205	8134	11609
206	8172	11567
207	8209	11524
208	8247	11484
209	8284	11441
210	8322	11398
211	8361	11358
212	8400	11319
213	8441	11281
214	8479	11239
215	8515	11196
216	8551	11152
217	8586	11107
218	8622	11064
219	8659	11021
220	8695	10978
221	8734	10937
222	8772	10897
223	8813	10858
224	8852	10819
225	8896	10785
226	8932	10742
227	8970	10701
228	9006	10658
229	9043	10616
230	9080	10574
231	9133	10550
232	9171	10510
233	9206	10466
234	9246	10427
235	9293	10396
236	9331	10355
237	9369	10314
238	9412	10278
239	9449	10236
240	9489	10197
241	9527	10157
242	9562	10113
243	9596	10068
244	9633	10026
245	9671	9986
246	9711	9947
247	9752	9909
248	9791	9870
249	9831	9831
250	9867	9788
251	9904	9746
252	9940	9704
253	9977	9663
254	10012	9619
255	10048	9577
256	10085	9536
257	10124	9496
258	10160	9454
259	10197	9413
260	10236	9373
261	10272	9331
262	10313	9293
263	10351	9253
264	10386	9210
265	10422	9168
266	10461	9128
267	10499	9089
268	10540	9051
269	10576	9009
270	10613	8968
271	10651	8928
272	10688	8887
273	10725	8846
274	10765	8808
275	10804	8768
276	10841	8728
277	10878	8687
278	10916	8647
279	10954	8607
280	10991	8565
281	11026	8524
282	11061	8481
283	11099	8441
284	11135	8400
285	11171	8359
286	11210	8320
287	11248	8280
288	11288	8241
289	11326	8202
290	11368	8165
291	11405	8124
292	11442	8083
293	11478	8042
294	11514	8001
295	11550	7960
296	11587	7920
297	11623	7879
298	11661	7839
299	11696	7797
300	11752	7769
301	11792	7731
302	11829	7691
303	11866	7650
304	11904	7610
305	11941	7570
306	11988	7536
307	12027	7497
308	12064	7457
309	12103	7418
310	12139	7377
311	12177	7337
312	12217	7299
313	12254	7259
314	12292	7219
315	12329	7179
316	12366	7139
317	12404	7099
318	12441	7059
319	12481	7021
320	12517	6980
321	12552	6939
322	12593	6900
323	12634	6862
324	12669	6822
325	12709	6783
326	12748	6744
327	12787	6705
328	12822	6664
329	12859	6624
330	12955	6614
331	13016	6586
332	13067	6553
333	13129	6525
334	13172	6488
335	13237	6461
336	13282	6424
337	13323	6385
338	13364	6347
339	13403	6307
340	13447	6270
341	13489	6232
342	13529	6192
343	13566	6152
344	13608	6113
345	13648	6074
346	13688	6035
347	13730	5997
348	13775	5959
349	13811	5919
350	13847	5878
351	13887	5839
352	13925	5799
353	13961	5758
354	13997	5717
355	14036	5677
356	14073	5637
357	14112	5597
358	14149	5557
359	14228	5533
360	14267	5493
361	14308	5454
362	14350	5416
363	14388	5376
364	14426	5335
365	14464	5295
366	14500	5254
367	14536	5214
368	14571	5173
369	14608	5132
370	14643	5091
371	14680	5051
372	14720	5012
373	14761	4973
374	14799	4933
375	14836	4892
376	14874	4852
377	14910	4812
378	14946	4771
379	14984	4731
380	15025	4692
381	15062	4652
382	15102	4613
383	15140	4573
384	15179	4534
385	15218	4494
386	15261	4456
387	15304	4417
388	15348	4379
389	15391	4341
390	15431	4301
391	15471	4262
392	15512	4223
393	15548	4183
394	15587	4143
395	15627	4104
396	15665	4064
397	15702	4024
398	15741	3984
399	15778	3944
400	15815	3904
401	15853	3864
402	15889	3824
403	15924	3784
404	15960	3743
405	15997	3703
406	16036	3664
407	16074	3624
408	16111	3584
409	16147	3544
410	16184	3504
411	16225	3465
412	16261	3425
413	16299	3385
414	16336	3346
415	16375	3306
416	16411	3266
417	16448	3226
418	16489	3187
419	16526	3147
420	16562	3107
421	16599	3068
422	16635	3028
423	16671	2988
424	16709	2948
425	16745	2908
426	16784	2869
427	16820	2829
428	16858	2790
429	16908	2752
430	16951	2713
431	16992	2674
432	17030	2635
433	17071	2596
434	17110	2556
435	17151	2517
436	17188	2478
437	17230	2439
438	17275	2400
439	17318	2361
440	17359	2322
441	17399	2283
442	17442	2244
443	17483	2205
444	17524	2165
445	17563	2126
446	17603	2087
447	17644	2048
448	17685	2008
449	17728	1969
450	17771	1930
451	17815	1891
452	17855	1852
453	17893	1813
454	17932	1773
455	17972	1734
456	18010	1694
457	18047	1654
458	18083	1615
459	18121	1575
460	18161	1536
461	18204	1497
462	18242	1457
463	18281	1418
464	18339	1380
465	18379	1341
466	18416	1301
467	18454	1261
468	18495	1222
469	18534	1183
470	18572	1143
471	18612	1104
472	18653	1064
473	18692	1025
474	18734	986
475	18773	946
476	18812	907
477	18849	867
478	18884	827
479	18922	788
480	18958	748
481	18997	709
482	19038	670
483	19078	630
484	19115	591
485	19155	551
486	19197	512
487	19234	472
488	19273	433
489	19312	394
490	19351	354
491	19389	315
492	19429	275
493	19471	236
494	19510	197
495	19554	157
496	19594	118
497	19641	78
498	19680	39
499	19722	0
